<EMAIL>sbell@aellab.com</EMAIL><LAB EDD>T2023691(ADAPT).csv</LAB EDD><FIELD EDD>T2023691(ADAPT Field).csv</FIELD EDD>
"Export_User","Export_DateTime","Facility_ID","TestSite_ID","Facility_Name","TestSite_Name","Well_Purged","Sample_ID","Sample_Date","Sample_Method","Sample_Filtered","Matrix","STORET_Code","Parameter","Lab_Cert_Numb","Prep_Date","Prep_Method","Preserv_Intact","Analysis_Date","Analysis_Method","Result","Units","Qualifier","Detection_Limit","Comments","Report_Type","Key","Rev","Testsite Table","Program_Area","Client_Analyte_ID","Error","Dilution","Percent_Moisture","Reporting_Limit"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","MW-1","2020/12/22 10:14:00","PP","NA","W","000010","Temperature, Water","NA","12/22/2020 10:14:00","NA","NA","2020/12/22 10:14:00","SM2550 B","23.7","Deg C","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","MW-1","2020/12/22 10:14:00","PP","NA","W","000094","Specific Conductance","NA","12/22/2020 10:14:00","NA","NA","2020/12/22 10:14:00","EPA 120.1","180","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","MW-1","2020/12/22 10:14:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/22/2020 10:14:00","NA","NA","2020/12/22 10:14:00","SM4500 O (A-G)","1.52","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","MW-1","2020/12/22 10:14:00","PP","NA","W","000406","pH","NA","12/22/2020 10:14:00","NA","NA","2020/12/22 10:14:00","SM4500 H+","5.9","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","031666","Total Recoverable Pet. Hydrocarbons","E84589","2020/12/24 09:30:00","FL-PRO","Y","2020/12/24 17:56:00","FDEP FL-PRO",".54","mg/L","U",".54",,"SEMGW","*********",,,"PRP","1935",,"1",,".64"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034010","Toluene","E84589","2020/12/29 00:06:00","5030","Y","2020/12/29 04:31:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/29 00:06:00","5030","Y","2020/12/29 04:31:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034030","Benzene","E84589","2020/12/29 00:06:00","5030","Y","2020/12/29 04:31:00","EPA 8260","0.28","ug/L","U","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.030","ug/L","U","0.030",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.026","ug/L","U","0.026",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034220","Anthracene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.050","ug/L","U","0.050",,"SEMGW","*********",,,"PRP","120127",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034230","Benzo(b)fluoranthene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.041","ug/L","U","0.041",,"SEMGW","*********",,,"PRP","205992",,"1",,"0.094"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034242","Benzo(k)fluoranthene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.026","ug/L","U","0.026",,"SEMGW","*********",,,"PRP","207089",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034247","Benzo(a)pyrene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.034","ug/L","U","0.034",,"SEMGW","*********",,,"PRP","50328",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034320","Chrysene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.029","ug/L","U","0.029",,"SEMGW","*********",,,"PRP","218019",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034371","Ethylbenzene","E84589","2020/12/29 00:06:00","5030","Y","2020/12/29 04:31:00","EPA 8260","0.56","ug/L","U","0.56",,"SEMGW","*********",,,"PRP","100414",,"1",,"1.0"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034376","Fluoranthene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.035","ug/L","U","0.035",,"SEMGW","*********",,,"PRP","206440",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034381","Fluorene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.036","ug/L","U","0.036",,"SEMGW","*********",,,"PRP","86737",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034403","Indeno(1,2,3-cd)pyrene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.040","ug/L","U","0.040",,"SEMGW","*********",,,"PRP","193395",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034461","Phenanthrene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.034","ug/L","U","0.034",,"SEMGW","*********",,,"PRP","85018",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034469","Pyrene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.035","ug/L","U","0.035",,"SEMGW","*********",,,"PRP","129000",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034521","Benzo(g,h,i)perylene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.042","ug/L","U","0.042",,"SEMGW","*********",,,"PRP","191242",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034526","Benzo(a)anthracene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.040","ug/L","U","0.040",,"SEMGW","*********",,,"PRP","56553",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034556","Dibenzo(a,h)anthracene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.050","ug/L","U","0.050",,"SEMGW","*********",,,"PRP","53703",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","034696","Naphthalene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.052","ug/L","U","0.052",,"SEMGW","*********",,,"PRP","91203",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","046491","Methyl-t-butyl ether","E84589","2020/12/29 00:06:00","5030","Y","2020/12/29 04:31:00","EPA 8260","0.71","ug/L","U","0.71",,"SEMGW","*********",,,"PRP","1634044",,"1",,"1.0"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","077416","2-Methylnaphthalene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","91576",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","T2023691001","2020/12/22 10:14:00","PP","N","W","077418","1-Methylnaphthalene","E84589","2020/12/24 09:30:00","3510","Y","2020/12/28 20:22:00","EPA 8270/PAH Low Level","0.040","ug/L","U","0.040",,"SEMGW","*********",,,"PRP","90120",,"1",,"0.19"
"sue bell","2020/12/30 12:53:40","9300022",,"KENNEY PROPERTY","MW-1","Y","MW-1","2020/12/22 10:14:00","PP","NA","W","082078","Turbidity","NA","12/22/2020 10:14:00","NA","NA","2020/12/22 10:14:00","EPA 180.1","1.83","NTU","D",,,"SEMGW","*********",,,"PRP",,,,,
